match_id,name,height,team,position,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,goals,wasFouled,fouls,totalOffside,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,expectedAssists
12437013,Cole Palmer,188,Chelsea,M,59,50,4,3,7,0,0,1,5,0,1,1,1,2,2,0,3,0,1,90,81,8.8,18,6,0.103102
12436989,Cole Palmer,188,Chelsea,M,25,17,7,6,4,0,0,2,3,0,1,2,1,5,0,4,1,0,2,90,46,10,13,4,0.619155
12436980,Cole Palmer,188,Chelsea,M,19,15,3,2,0,0,0,2,6,0,0,1,0,1,0,1,5,1,0,64,31,7.3,5,1,0
12436931,Cole Palmer,188,Chelsea,M,30,25,2,2,3,0,0,3,8,1,1,3,2,0,0,0,4,0,2,90,49,7.1,12,1,0.0338629
12436910,Cole Palmer,188,Chelsea,M,41,33,7,4,5,0,0,3,2,0,1,3,1,1,0,0,1,0,0,90,59,8,16,5,0.592825
